county,year,precipitation,maximum_temperature,palmer_modified_drought_index_(pmdi),average_temperature,palmer_z-index,minimum_temperature,palmer_hydrological_drought_index_(phdi),palmer_drought_severity_index_(pdsi),heating_degree_days,cooling_degree_days
morgan county,2020,16.59,57.2,-4.33,45.5,-2.86,33.8,-4.33,-4.33,7361,283
morgan county,2021,24.54,57.4,-0.90,46.2,1.48,35.1,-2.26,-2.26,7205,387
morgan county,2022,23.17,56.0,0.01,44.4,1.32,32.9,-1.12,0.74,7801,345
morgan county,2023,31.58,55.1,-0.97,44.2,-0.73,33.3,-0.97,-0.97,7783,234
rich county,1990,14.04,53.1,-3.56,40.6,-1.30,28.1,-3.56,-3.56,8948,83
rich county,1991,18.80,51.5,1.95,39.6,-1.43,27.6,2.58,-0.48,9344,87
rich county,1992,12.82,53.8,-2.03,41.3,-0.01,28.7,-2.49,0.21,8684,56
rich county,1993,19.23,49.3,1.80,37.4,-1.24,25.4,2.53,-0.51,10045,5
rich county,1994,15.24,54.2,0.40,41.6,-0.34,29.1,-1.22,1.12,8627,138
rich county,1995,21.59,52.9,2.60,40.9,0.97,28.9,3.00,3.00,8811,42
rich county,1996,20.78,53.0,3.39,40.7,5.47,28.5,3.39,3.39,8901,92
rich county,1997,21.51,51.5,3.70,39.6,-0.48,27.6,3.94,3.94,9297,57
rich county,1998,23.45,52.1,4.33,40.5,-0.95,28.9,4.88,4.88,9015,107
rich county,1999,17.47,53.9,-2.41,41.0,-2.45,28.1,0.75,-2.62,8789,61
rich county,2000,15.99,54.1,-2.42,41.5,-1.04,29.0,-2.42,-2.42,8703,161
rich county,2001,13.72,54.0,-2.01,41.2,0.70,28.4,-2.84,-2.84,8797,152
rich county,2002,13.78,52.2,-1.42,39.7,-1.30,27.1,-1.93,-1.93,9328,134
rich county,2003,15.19,54.5,-0.90,42.3,0.76,30.2,-1.64,0.46,8404,198
rich county,2004,17.70,52.0,1.93,40.2,0.87,28.3,1.93,1.93,9069,55
rich county,2005,21.04,52.5,1.71,40.3,1.59,28.1,2.33,2.33,9053,93
rich county,2006,17.51,53.4,0.16,41.0,-0.89,28.5,0.80,-0.30,8860,137
rich county,2007,13.06,55.4,-2.85,42.0,-0.02,28.7,-2.90,-2.90,8544,195
rich county,2008,14.70,51.9,-1.92,39.2,-0.89,26.5,-1.92,-1.92,9490,96
rich county,2009,17.37,52.4,-0.75,40.0,-1.29,27.6,0.66,-0.90,9147,50
rich county,2010,20.19,52.6,3.42,40.3,4.60,28.1,3.42,3.42,9033,55
rich county,2011,20.18,50.9,1.42,38.9,-1.94,26.9,2.65,-0.84,9566,80
rich county,2012,13.19,55.9,-2.21,43.1,1.42,30.2,-3.12,-3.12,8141,162
rich county,2013,13.68,52.6,-1.87,40.1,-0.58,27.7,-2.32,-2.32,9175,144
rich county,2014,21.46,54.4,1.71,42.3,-0.14,30.1,2.46,-0.41,8345,76
rich county,2015,16.47,55.8,-0.74,43.3,0.06,30.8,-0.74,-0.74,7987,83
rich county,2016,19.39,54.6,0.44,42.2,1.23,29.8,0.92,0.92,8402,101
rich county,2017,22.92,54.0,-1.29,41.8,-1.38,29.6,0.69,-1.40,8565,128
rich county,2018,14.60,54.6,-0.23,42.2,-0.01,29.8,-1.61,0.92,8424,140
rich county,2019,18.56,50.8,0.83,38.9,-0.17,27.0,1.43,0.38,9582,80
rich county,2020,11.39,54.4,-2.75,41.2,-2.49,27.9,-2.75,-2.75,8763,107
rich county,2021,15.75,55.8,-1.54,43.0,1.56,30.2,-2.62,-0.06,8198,213
rich county,2022,15.33,53.9,0.37,40.6,1.16,27.2,-0.82,0.73,9057,176
rich county,2023,21.05,51.9,0.51,39.6,-0.80,27.4,1.38,1.38,9320,106
