CountyYear,Pop,All industry total,Private industries,"                Agriculture, forestry, fishing and hunting","                Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"                Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"                        Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,"                Educational services, health care, and social assistance",Educational services,Health care and social assistance,"                Arts, entertainment, recreation, accommodation, and food services","                        Arts, entertainment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government and government enterprises
Carbon2005,19870,"913,250","798,597","5,083","294,045","46,021","18,609","34,986","18,787","16,199","42,875","49,323","66,189","12,577","119,420","18,345","101,075","32,873",S,S,"13,228","39,059",S,S,"15,303","1,725","13,578","22,235","114,653"
Carbon2006,20072,"1,031,112","910,959","1,767","335,104","50,037","37,623","46,860","22,530","24,330","44,316","52,967","85,338","14,969","123,324","19,602","103,722","33,200","8,329","12,639","12,231","44,106",S,S,"17,638","1,767","15,871","23,710","120,153"
Carbon2007,20554,"1,108,057","983,501","2,182","402,957","48,554","27,907","47,814","22,400","25,414","46,184","53,938","99,312","11,559","122,758","19,203","103,555","33,027",S,S,"11,450","45,138",S,S,"18,221","1,729","16,492","23,949","124,557"
Carbon2008,20596,"1,294,622","1,164,580","3,362","454,135","48,014","27,949","49,438",S,S,"49,950","56,183","183,912","11,237","148,086","16,335","131,751","40,748",S,S,"15,083","47,658",S,S,"17,857","1,575","16,282","26,051","130,042"
Carbon2009,21143,"1,127,931","1,000,914","3,418","360,141","53,676","27,942","39,254",S,S,"50,918","56,471","100,533","8,699","167,578","13,423","154,155","38,352",S,S,"14,878","49,960",S,S,"17,170","1,795","15,375","26,804","127,017"
Carbon2010,21403,"1,151,122","1,020,765","3,994","330,651","60,005","36,776","42,614",S,S,"54,428","53,483","123,035","8,315","163,474","13,920","149,554","48,439",S,S,"22,160","50,633",S,S,"17,256","1,998","15,257","27,662","130,357"
Carbon2011,21308,"1,235,653","1,105,514",681,"397,957","66,790","39,316","45,250",S,S,"62,804","50,746","109,046","8,752","174,454","14,998","159,457","50,484",S,S,"23,107","54,922",S,S,"17,605","2,348","15,257","26,709","130,139"
Carbon2012,21226,"1,084,326","956,659","1,295","290,094","69,690","38,329","34,636",S,S,"67,712","53,492","107,166","6,207","130,068","14,982","115,086","52,804",S,S,"23,066","58,369",S,S,"18,113","2,813","15,300","28,684","127,667"
Carbon2013,20908,"1,091,017","966,575","2,044","309,486","65,354","37,053","38,728","32,477","6,251","60,670","54,481","100,178","6,630","131,315","13,568","117,747","52,407",S,S,"20,364","63,593",S,S,"18,379","2,560","15,819","26,257","124,442"
Carbon2014,20642,"1,157,962","1,032,615","2,327","363,010","68,408","43,235","38,415","31,730","6,685","54,441","54,617","114,304","5,692","130,997","13,804","117,193","50,308","16,378","14,717","19,213","62,156",S,S,"18,167","2,211","15,956","26,536","125,347"
Carbon2015,20400,"1,056,114","928,926","1,223","345,568","41,428","49,430","44,682","37,220","7,462","49,010","54,651","39,220","6,271","135,930","13,181","122,750","52,919","16,579","13,734","22,607","64,643",S,S,"18,372","1,858","16,514","25,578","127,188"
