CountyYear,Pop,All industry total,Private industries,"                Agriculture, forestry, fishing and hunting","                Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"                Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"                        Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,"                Educational services, health care, and social assistance",Educational services,Health care and social assistance,"                Arts, entertainment, recreation, accommodation, and food services","                        Arts, entertainment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government and government enterprises
Duchesne2013,19959,"1,380,023","1,256,470","47,331","633,042","2,692","69,508","35,592","33,456","2,136","37,389","46,865","93,003","37,396","147,583","11,589","135,994","41,408","14,921",S,S,"23,612",89,"23,523","13,134","1,317","11,817","27,915","123,553"
Duchesne2014,20197,"1,462,696","1,331,230","59,461","684,364","2,538","85,459","27,311","23,342","3,969","41,238","50,565","85,836","38,037","151,711","14,421","137,290","39,639","14,035",S,S,"23,098",S,S,"13,269","1,544","11,725","28,704","131,466"
Duchesne2015,20743,"1,071,276","938,062","46,448","342,491","3,595","69,552","21,306","17,767","3,539","26,848","48,138","73,622",S,"161,353","13,820","147,532","37,352","13,331",S,S,S,S,S,"12,465",796,"11,669","26,531","133,214"
Duchesne2016,20226,"927,894","787,806","34,921","242,543","3,109","55,237","14,810","11,123","3,687","25,574","46,325","60,578","46,069","164,046","11,798","152,248","34,304","9,658",S,S,"25,323",S,S,"11,882",643,"11,239","23,085","140,088"
Duchesne2017,19852,"998,176","853,125","23,547","307,836","6,050","51,393","13,664","10,137","3,528","25,894","47,011","62,709",S,"172,579","11,562","161,016","34,212","8,647",S,S,"26,153",S,S,"12,632",257,"12,375",S,"145,050"
Duchesne2018,19902,"1,025,868","879,034","31,412","348,883","8,665","32,131","15,250","11,173","4,077","30,266","49,568","60,180",S,"156,954","13,541","143,413","34,195","9,583","14,810","9,802","25,278",114,"25,164","13,424",229,"13,195",S,"146,834"
Duchesne2019,19877,"1,014,751","860,006","38,610","293,100","11,589","29,453","15,100","10,523","4,577","29,454","57,346","61,306",S,"172,167","14,824","157,343","35,387","10,840","14,453","10,094","26,153",S,S,"14,417",S,S,S,"154,745"
Duchesne2020,19617,"909,529","740,583","29,869","183,317","17,751","30,521","16,084","11,034","5,050","25,510","59,403","56,424",S,"175,489","16,320","159,169","31,297","11,531",S,S,"27,270",S,S,"13,056",299,"12,757",S,"168,946"
Duchesne2021,19806,"1,173,057","997,065","30,057","404,000","18,845","36,052","16,249","12,806","3,443","28,745","65,769","65,281",S,"176,194","17,053","159,141","35,635",S,S,"12,560","26,985",S,S,"17,933",625,"17,308",S,"175,991"
Duchesne2022,20161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emery2000,10850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emery2001,10614,"566,748","527,099",370,"101,169",S,"11,638","2,382",S,S,S,"12,243","8,274","11,914","33,494",S,S,"15,129","2,410","11,149","1,569","2,210",3,"2,207","5,162",403,"4,759","11,377","39,649"
Emery2002,10548,"545,844","506,139","1,265","76,914","300,858","14,648","1,772",S,S,S,"12,505","7,823","15,991","37,508",S,S,"14,906","2,677","11,103","1,126",S,S,S,"5,657",477,"5,180","12,305","39,704"
Emery2003,10545,"578,720","542,001","3,487","81,490","319,599","15,204","3,125",S,S,S,"14,552","8,714","16,528","41,121",S,S,"14,989","2,739","9,558","2,692",S,S,S,"6,375",697,"5,678","12,304","36,719"
Emery2004,10460,"610,537","570,173","2,471","91,077","344,819","14,547","3,554","1,898","1,656",S,"17,168","8,423","16,978","42,214",S,S,"5,653","2,477",S,S,S,S,S,"6,965",839,"6,126","11,761","40,364"
Emery2005,10471,"677,786","633,283",921,"139,649","346,033","16,279","2,707","1,113","1,594",S,"15,156","9,134","20,059","47,266",S,S,S,"2,744","9,105",S,"2,131",S,S,"6,806",178,"6,628","11,612","44,503"
Emery2006,10445,"718,898","673,659","3,156","147,269","372,139","23,330","2,293",910,"1,384",S,"15,308","7,940","24,844","48,296","4,338","43,958","4,574","3,361",S,S,S,S,S,"6,974",11,"6,963","12,190","45,239"
Emery2007,10566,"736,663","690,644","5,735","143,605","374,812","26,842","2,046",S,S,S,"15,955","6,244","27,146","47,566",S,S,"14,687","3,947",S,S,S,S,S,"7,219",S,S,"13,049","46,019"
Emery2008,10740,"777,576","727,377","7,528","142,794","391,873","23,245","2,889",S,S,S,"16,238","5,429","30,180","60,482","3,587","56,894","18,972","5,035",S,S,S,S,S,"7,876",13,"7,863","14,512","50,198"
Emery2009,10896,"835,436","781,438","6,235","151,651","424,070","31,201","3,431",S,S,S,"16,052","4,584","28,306","70,180","3,179","67,002","17,879","4,928",S,S,S,S,S,"7,042",7,"7,035","15,766","53,997"
Emery2010,11004,"836,447","781,452",964,"124,982","441,389","35,788","1,912",S,S,S,"15,465","4,807","26,431","68,238",S,S,"34,884","18,702",S,S,S,S,S,"7,039",228,"6,811","14,722","54,995"
Emery2011,10986,"940,237","883,945","3,520","140,309","473,081","31,265","2,264",S,S,S,"15,245","5,011","27,356","72,197",S,S,"86,190",S,S,S,S,S,S,"7,585",603,"6,982","14,946","56,292"
Emery2012,10941,"928,409","872,083","1,747","151,017","553,972","29,583","1,502",S,S,S,"15,565","4,142","27,990","52,429",S,S,"8,016","5,193",S,S,S,S,S,"8,218",950,"7,268","12,692","56,326"
Emery2013,10761,"952,566","898,807","10,901","150,078","556,360","29,945","2,019","1,907",112,S,"15,845","3,422",S,"54,735","2,948","51,786","22,583","5,726",S,S,"2,708",S,S,"8,162",744,"7,418","12,587","53,758"
Emery2014,10641,"933,457","884,178","23,502","144,725","529,266","38,304","2,202","2,018",184,S,"16,029","3,588",S,"55,640","2,905","52,735","20,611","5,578",S,S,"2,540",S,S,"8,337",252,"8,085","12,689","49,279"
Emery2015,10360,"897,876","843,558","18,468","66,577","582,952","23,739","2,983","2,427",556,"3,139","16,422",S,S,"57,552","3,036","54,516","18,284","5,292",S,S,"2,360",S,S,"9,425",96,"9,329","13,425","54,318"
Emery2016,10221,"900,269","847,095","19,646","56,498","587,772","24,844","2,824","2,245",579,S,"17,758","2,143",S,"60,354","3,345","57,009","19,709","5,041",S,S,"2,321",S,S,"10,058",94,"9,964","14,654","53,174"
Emery2017,10027,"928,503","869,871","5,671","75,392","610,989","20,182","2,760","1,998",762,S,"19,191","2,752",S,"65,342","3,856","61,486","17,765","4,925",S,S,"2,546",S,S,"10,404",157,"10,247","11,838","58,632"
Emery2018,10039,"913,639","856,481","14,617","96,088","560,598","24,124","3,702","2,249","1,453",S,"20,932","2,465",S,"60,426","4,076","56,350","16,643","5,741",S,S,"7,419",S,S,"11,637",128,"11,509","12,069","57,158"
Emery2019,10061,"1,003,525","951,072","10,815","106,391","632,640","25,199","3,977","2,363","1,614",S,"22,607","2,781",S,"66,747","4,398","62,349","19,592","6,720",S,S,"8,802",S,S,"13,271",135,"13,136","11,745","52,453"
Emery2020,9842,"999,122","947,409","17,043","75,965","655,070","28,845","3,566","2,084","1,482",S,"23,735","3,559",S,"63,886","5,045","58,841","16,276","6,396",S,S,"9,479",S,S,"9,589",76,"9,513","13,551","51,713"
Emery2021,9963,"1,266,044","1,207,116","16,131","119,384","860,248","31,544","4,744",S,S,S,"26,883","3,962",S,"62,681","5,933","56,748","17,397","6,631",S,S,"9,201",S,S,"13,268",116,"13,152","13,557","58,928"
Emery2022,10099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garfield2000,4747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garfield2001,4705,"122,752","93,726",S,"3,139","2,054","4,229",S,S,"1,690",S,"4,041",S,S,"20,805",S,S,S,719,0,S,"4,061",S,S,"24,079","1,281","22,798","2,995","29,026"
Garfield2002,4650,"123,306","93,829","2,644","1,637","2,138","2,074","4,743","2,514","2,229",S,"4,119",S,S,"23,377",S,S,882,771,0,111,"4,350",S,S,"27,163","2,815","24,348","3,279","29,477"
Garfield2003,4605,"125,054","96,348",S,"1,877","1,852","2,346",S,S,"1,506","1,018","4,421",431,S,"24,315",S,S,S,816,0,S,"4,452",S,S,"26,335","2,560","23,776","3,248","28,706"
Garfield2004,4552,"133,848","102,973",S,"2,558","2,048","4,575",S,S,553,"1,424","4,345",687,S,"25,115","3,303","21,812",S,709,0,S,"6,795",335,"6,460","28,872","2,750","26,121","3,152","30,874"
Garfield2005,4582,"148,959","116,948","1,171","3,621","2,399","2,455","3,033","2,683",350,"2,212","4,722",937,S,"30,651","3,055","27,596",S,S,0,153,"7,878",S,S,"32,302",S,S,"2,795","32,011"
Garfield2006,4670,"170,158","136,105","2,846","4,336","2,732","2,866","3,780","3,502",278,"2,380","4,783","1,362",S,"32,986","3,384","29,602",S,667,0,S,"9,541",S,S,"33,973","3,333","30,640","2,749","34,054"
Garfield2007,4850,"199,792","163,937","9,861","4,843",S,"3,930","4,555","4,305",250,"2,827","4,961","1,296",S,"37,874",S,S,879,675,0,205,"10,179",S,S,"38,427","3,212","35,215","2,633","35,855"
Garfield2008,5010,"215,092","177,298","9,512","4,817","2,776","7,636","3,821","3,370",451,"2,624","5,433","1,166",S,"38,932","2,331","36,601",S,616,0,S,"12,042",S,S,"42,931","3,263","39,668","3,289","37,794"
Garfield2009,5068,"199,456","159,682","8,396","3,464","2,607","5,309","2,300","1,658",642,"2,286","5,624",S,S,"38,400",S,S,S,631,0,S,"15,747",S,S,"37,888","2,981","34,907","3,767","39,774"
Garfield2010,5196,"207,133","166,340","8,087","3,960","2,685","7,649","2,348","1,823",525,"1,989","5,925",S,S,"42,295","1,754","40,541",S,815,0,S,"14,996",S,S,"45,184",S,S,"4,092","40,793"
Garfield2011,5150,"194,197","152,578",663,"4,496","2,954","6,395","2,714","2,182",532,"2,146","6,507",S,S,"43,550","1,816","41,734",S,"1,151",0,S,"12,709",S,S,"44,272",S,S,"4,200","41,618"
Garfield2012,5064,"196,246","155,493","1,866","4,031","2,796","5,298","2,195",S,S,S,"6,988",S,S,"36,142",S,S,S,"1,312","14,370",S,"11,304",356,"10,949","44,152","3,305","40,847","4,100","40,754"
Garfield2013,5033,"207,336","167,448","11,600","3,752","3,114","6,318","3,211",S,S,S,"7,188",S,S,"36,260","1,808","34,452","16,214","1,560","14,209",444,"12,404",S,S,"40,932","3,021","37,911",S,"39,888"
Garfield2014,5009,"206,384","166,602","14,310","3,209","2,999","6,002","2,877",S,S,S,"6,734",S,S,"34,760","1,904","32,856","14,273",S,S,S,"11,937",S,S,"42,473","2,791","39,682",S,"39,782"
Garfield2015,4966,"223,816","184,060","22,753","1,870","3,029","5,827","3,188",S,S,929,"6,548","2,319",S,"35,143","2,193","32,950","12,768","1,539","10,574",655,"12,701",S,S,"47,741",S,S,S,"39,756"
Garfield2016,4956,"235,405","195,224","22,204","1,635","3,298","6,037","2,987",S,S,899,"7,117","2,065",S,"36,462","2,353","34,108","13,967","1,050","12,151",766,"13,782",S,S,"51,714",S,S,S,"40,182"
Garfield2017,5022,"249,043","207,297","20,656","1,858","3,330","5,322","3,733",S,S,964,"8,254","2,646",S,"36,999","2,708","34,291","14,749",S,"12,857",S,"13,328",S,S,"61,350",S,S,S,"41,746"
Garfield2018,4970,"253,910","214,312","25,363","2,036","3,096","5,208","4,205",S,S,"1,007","9,480","3,746",S,"41,433","3,072","38,361","3,071","2,289",0,782,"13,903",S,S,"68,706",S,S,S,"39,598"
Garfield2019,5000,"271,731","231,304","13,152","1,684","4,084","7,293","4,073",S,S,932,"10,902","4,713",S,"44,208","3,206","41,002","3,671","2,815",0,856,"15,010",S,S,"72,809","1,833","70,976",S,"40,427"
Garfield2020,5107,"267,779","224,198","18,456","1,064","3,956","10,175","3,427",S,S,968,"11,056","4,941",S,"47,057","3,303","43,755","3,762","2,705",0,"1,057","15,432",S,S,"49,641",S,S,S,"43,581"
Garfield2021,5149,"327,291","280,664","24,381",S,"4,052","7,105",S,S,586,"1,174","12,491","5,293","64,867","51,778","3,856","47,921","4,073","2,845",0,"1,228","16,387",S,S,"74,359","2,397","71,962","5,112","46,626"
Garfield2022,5281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand2000,8420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand2001,8436,"219,705","176,017","3,457","13,118",S,"11,809","2,363",555,"1,808","2,938","21,053","4,392",S,"49,083","5,710","43,374","8,736","5,272",S,S,"9,382",S,S,"36,870","5,561","31,309","8,008","43,688"
Grand2002,8556,"230,814","186,647","2,895","11,702","2,123","12,590","2,825",500,"2,325",S,"21,327",S,"3,232","54,073","6,984","47,089","8,620","5,116",S,S,"10,628","1,825","8,803","39,101","5,634","33,467","9,129","44,167"
Grand2003,8556,"248,376","202,118","1,950","14,460","2,131","13,149","2,832","1,015","1,817",S,"23,847",S,"3,833","59,343","7,331","52,012","9,747","6,028",S,S,"11,314","1,780","9,534","40,094","6,228","33,866","9,934","46,257"
Grand2004,8528,"273,754","223,818",286,"24,842","2,355","17,588","2,328",943,"1,385","4,139","25,714",S,"4,371","59,496","8,407","51,089",S,"8,698",S,S,"13,099","1,843","11,256","41,191","6,801","34,390","9,629","49,935"
Grand2005,8657,"314,066","262,308","1,131","37,808","2,395","22,754","2,289",S,S,"5,051","31,473",S,"5,338","66,168","8,699","57,469",S,"8,244",S,S,"15,664","1,827","13,837","44,147","7,459","36,687","9,418","51,758"
Grand2006,8787,"351,334","296,758","4,826","41,924","2,626","24,437","2,816",S,S,"5,442","39,283",S,"7,142","70,248","9,000","61,248",S,"8,175",S,S,"16,449","1,687","14,762","52,147","8,045","44,102","10,541","54,576"
Grand2007,8838,"365,020","310,425","4,993","43,941","1,984","25,595","3,321",S,S,"7,001","38,005",S,"6,920","71,106","8,721","62,385",S,"10,331",S,S,"16,322","1,771","14,550","59,482","8,783","50,698","10,323","54,595"
Grand2008,8981,"413,255","354,944","4,943","67,017","3,073","26,480","4,143",S,S,"7,273","37,899","6,179","7,125","84,031","7,915","76,116","16,125","11,127",S,S,"17,310","2,291","15,019","63,237","9,078","54,159","10,109","58,311"
Grand2009,9034,"428,540","366,541","4,642","67,428","2,689","33,244","5,372",S,S,"5,805","34,544","6,477","5,423","96,777","6,698","90,078","15,109","10,096",S,S,"17,915","2,380","15,535","61,264","9,282","51,982","9,852","61,999"
Grand2010,9301,"436,497","372,746","4,699","65,881","2,851","27,580","5,423",S,S,"5,688","36,450","16,342","4,499","93,795","6,843","86,952","17,401","11,307",S,S,"18,059","2,099","15,961","64,199","10,285","53,914","9,879","63,752"
Grand2011,9286,"447,532","382,429",910,"69,450","2,990","21,215","5,449",S,S,"5,810","37,345","15,961","4,374","99,445","6,243","93,203","19,842","13,644",S,S,"20,211","1,836","18,375","68,505","11,382","57,123","10,922","65,103"
Grand2012,9343,"438,796","370,243","1,597","61,391","2,898","25,877","3,857",S,S,"5,665","41,829","11,449","4,226","82,035","6,299","75,736","20,872","14,141",S,S,"20,737","1,516","19,221","76,004","13,580","62,424","11,805","68,553"
Grand2013,9361,"447,722","377,141","1,059","62,329",S,"27,962","3,418",S,S,"6,531","42,040","12,012",S,"78,800","5,772","73,028","20,580","14,077",S,S,"21,044","1,633","19,411","81,873","13,879","67,993","12,012","70,581"
Grand2014,9464,"485,757","415,710",701,"72,733","3,794","31,310","4,927","2,227","2,699","6,291","41,395","12,759","4,653","79,446","6,671","72,775","33,767","13,988",S,S,"23,856","1,848","22,008","86,840","15,778","71,062","13,238","70,047"
Grand2015,9530,"483,357","412,106","1,955","38,907","4,496","32,484","5,707","2,013","3,694","6,225","44,124","13,235","5,864","86,187","7,029","79,159","32,350",S,S,"7,488","26,868","2,141","24,727","100,252","16,737","83,516","13,452","71,250"
Grand2016,9616,"509,324","435,603",621,"33,031","3,833","33,540","6,419","2,232","4,188","6,848","48,574","14,082","6,570","98,729","7,225","91,504","32,286",S,S,S,"28,282","2,705","25,577","109,788","19,414","90,374","12,998","73,720"
Grand2017,9591,"573,887","495,861",563,"43,965",S,"37,173","13,713","2,393","11,319",S,"44,932","14,324","5,950","112,438","7,936","104,503","34,663",S,S,"9,747","29,904","2,661","27,243","131,327","20,674","110,652","13,560","78,026"
Grand2018,9715,"629,230","543,721","1,867","42,558","8,549","35,217","17,302","2,949","14,353","7,920","46,378","19,161","5,665","122,064","9,245","112,819","33,142",S,S,"10,195","32,968","2,843","30,125","156,674","21,706","134,968","14,254","85,509"
Grand2019,9773,"681,257","589,208","4,607","44,376","11,431","45,956","21,771","5,498","16,272","8,422","44,088","19,464","6,090","138,407","9,742","128,664","40,722",S,S,S,"35,490","3,161","32,329","153,535","21,576","131,959","14,850","92,049"
Grand2020,9677,"635,862","542,710","3,409","39,291","17,395","51,348","18,148","4,534","13,614","7,945","44,441","23,075","6,330","112,602","10,877","101,725","43,196","17,272",S,S,"36,063","2,358","33,705","123,997","19,033","104,964","15,472","93,152"
Grand2021,9665,"722,690","623,276","4,073","44,099","18,277","41,100","18,945","4,547","14,398","9,249","52,375","24,928","6,554","117,238","12,042","105,196","46,682","19,798",S,S,"39,578","3,338","36,240","183,836","27,355","156,481","16,341","99,415"
Grand2022,9769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron2000,34002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron2001,34771,"766,530","592,545","26,223","3,022","5,281","41,660","104,535","33,479","71,056","19,528","66,875","21,412","8,633","149,937","32,007","117,930","49,593",S,S,"23,796","28,657","1,428","27,229","38,193","7,897","30,296","28,997","173,986"
Iron2002,35728,"831,750","653,022","60,405",122,"5,518","46,237","101,362","26,371","74,991","24,233","68,608","22,709",S,"158,509","39,572","118,937","50,826",S,S,"24,817","33,169","1,350","31,819","38,267","8,278","29,989",S,"178,728"
Iron2003,36202,"869,395","687,280","71,373",153,"5,962","52,517","104,334","25,101","79,233","24,536","81,122","21,833","11,128","163,580","40,447","123,133","42,513",S,S,"19,445","37,266","1,202","36,064","38,027","8,837","29,190","32,938","182,115"
Iron2004,37223,"938,786","738,658","71,382",169,"6,338","57,207","114,179","40,036","74,143","24,873","95,789","20,768","11,816","169,657","42,891","126,766","51,421",S,S,"18,742","43,021","1,781","41,240","37,777","8,764","29,012","34,262","200,128"
Iron2005,39555,"1,035,534","826,349","73,765","1,237","6,678","74,011","127,467","58,068","69,400","25,350","99,136","22,127","13,538","210,303","48,524","161,780","49,710","18,274","10,738","20,697","46,256","2,051","44,205","41,350","8,322","33,029","35,421","209,185"
Iron2006,42000,"1,197,925","973,923","57,200","7,353","7,871","92,055","192,135","121,493","70,642","29,444","105,579","23,658","16,984","245,093","63,991","181,103","57,066","23,991","12,184","20,891","55,620","2,273","53,348","44,328","8,498","35,829","39,537","224,003"
Iron2007,43645,"1,202,539","965,135","51,195","6,353","7,598","96,168","146,850","71,075","75,776","32,161","111,452","23,346","20,163","261,941","63,335","198,605","59,565","25,426","11,592","22,547","59,880","2,526","57,354","49,160","9,508","39,651","39,302","237,404"
Iron2008,44547,"1,190,674","936,338","44,613","6,564","8,702","72,925","141,042","68,355","72,687","26,559","106,260","22,832","19,302","264,337","55,888","208,449","67,169","27,387","14,472","25,310","65,977","3,439","62,539","48,352","8,641","39,711","41,704","254,336"
Iron2009,45693,"1,179,399","923,927","27,913","7,218","8,617","56,742","197,177","85,734","111,442","22,088","99,604","20,725","15,441","250,333","48,309","202,024","61,955","25,203","12,850","23,902","70,137","4,497","65,640","43,435","7,607","35,828","42,543","255,472"
Iron2010,46264,"1,180,744","914,862","9,518","10,443","9,193","49,732","189,728","80,087","109,641","21,043","99,365","22,502","13,222","267,542","51,341","216,200","64,649","22,189","14,635","27,825","68,478","4,138","64,340","44,144","7,473","36,670","45,303","265,882"
Iron2011,46632,"1,267,600","990,054","53,411","11,815","10,084","31,715","202,199","80,110","122,089","23,482","96,880","36,970","12,688","276,879","59,662","217,217","65,778","21,369","15,660","28,749","70,643","4,254","66,389","46,711","7,493","39,218","50,799","277,546"
Iron2012,46661,"1,189,465","916,323","29,005","7,353","9,604","32,737","155,652","54,717","100,935","25,519","98,487","41,493","9,539","258,118","64,960","193,158","64,255","18,344","17,876","28,036","77,371","4,601","72,770","50,921","8,380","42,541","56,269","273,142"
Iron2013,46560,"1,231,563","961,648","53,763","7,485","10,113","46,927","137,827","52,203","85,624","26,611","103,561","40,530","9,317","265,293","63,448","201,845","65,884","21,989","17,202","26,693","83,261","5,045","78,216","57,309","11,960","45,349","53,766","269,915"
Iron2014,47080,"1,314,983","1,037,467","49,697","46,729","10,973","59,887","147,333","47,464","99,869","27,196","107,034","38,990","10,268","269,909","77,066","192,844","67,703","25,197","14,637","27,870","92,102","5,925","86,177","57,350","9,302","48,048","52,295","277,516"
Iron2015,48166,"1,345,789","1,061,294","50,121","9,129","12,669","75,009","171,554","53,099","118,455","28,253","117,453","26,187","11,818","277,814","80,742","197,073","70,865","26,217","13,978","30,671","95,964","6,203","89,761","63,773","10,450","53,323","50,684","284,495"
Iron2016,49755,"1,432,839","1,132,872","37,791","14,550","35,681","79,714","176,831","52,663","124,168","30,270","130,561","25,424","11,050","281,426","83,763","197,663","76,645","29,888","15,977","30,780","109,514","7,444","102,071","69,756","12,110","57,646","53,659","299,967"
Iron2017,50944,"1,554,096","1,234,832","24,954","21,034","63,512","91,471","210,815","63,268","147,546","35,463","133,147","26,724","12,503","292,451","83,567","208,884","76,795","32,190","17,151","27,455","114,359","7,883","106,476","73,933","11,860","62,073","57,670","319,264"
Iron2018,52959,"1,761,500","1,424,479","83,608","19,626","64,452","108,009","223,875","73,599","150,276","37,494","144,897","29,105","11,959","341,774","94,533","247,241","84,207","37,987","15,600","30,620","123,088","8,575","114,513","91,237","14,831","76,407","61,147","337,021"
Iron2019,55269,"1,944,390","1,587,014","102,711","19,192","72,220","130,204","238,732","77,003","161,729","40,342","155,978","32,840","11,386","383,720","105,828","277,891","96,522","47,862","13,847","34,813","132,042","9,470","122,572","108,269","17,867","90,401","62,858","357,376"
Iron2020,57708,"2,047,401","1,668,354","64,383","22,706","97,294","150,144","259,746","86,833","172,913","42,519","170,641","40,233","13,089","405,981","114,087","291,893","102,931","55,824","11,228","35,878","137,736","9,927","127,809","87,373","14,633","72,741","73,577","379,048"
Iron2021,60522,"2,314,250","1,903,437","70,530","23,433","123,395","195,429","282,152","95,962","186,190","49,292","196,516","42,058","15,650","441,391","123,480","317,911","119,669","61,574","13,260","44,835","152,017","11,151","140,866","112,351","16,842","95,509","79,552","410,814"
Iron2022,62429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juab2000,8268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juab2001,8388,"148,520","123,069","2,429","3,181",0,"7,243","21,700",S,S,"3,044","12,732","13,969",14,"25,417","3,710","21,707","15,651","9,077",S,S,"4,698",5,"4,693","7,354",S,S,"5,636","25,451"
Juab2002,8482,"164,528","138,758","1,595","3,319",0,"18,371","25,206",S,S,"2,924","12,955","14,176",17,"26,775","4,305","22,471","10,685","7,950",S,S,"8,871",5,"8,866","7,188",S,S,"6,675","25,770"
Juab2003,8622,"157,601","130,669",892,"4,209",0,"10,106","24,844",S,S,"2,647","14,625","12,753",51,"26,339",S,S,"10,265",S,0,S,"10,668",4,"10,664","6,536",S,S,"6,734","26,931"
Juab2004,8803,"191,973","163,468","10,841","5,956","1,180","19,625","34,584",S,S,"2,112","18,694",S,148,"26,633",S,S,"10,472",S,0,S,S,11,S,"6,632",S,S,"6,509","28,506"
Juab2005,8926,"236,613","205,410","14,081","11,149","6,471","26,558","38,078",S,S,"2,325","16,783",S,611,"32,442","4,253","28,189","20,071",S,"8,583",S,"12,906",S,S,S,S,S,"6,100","31,202"
Juab2006,9175,"305,357","270,629","19,549","17,685","42,846","27,453","43,334",S,S,"2,701","16,708",S,S,"35,326","4,788","30,538","21,500",S,"9,568",S,"14,551",S,S,"6,451",S,S,S,"34,728"
Juab2007,9607,"353,345","316,927","8,788","21,353","72,594","39,249","46,078",S,S,"2,731","16,323",S,S,"41,480","5,422","36,058","22,139",S,"8,718",S,"14,830",S,S,"7,242",55,"7,188",S,"36,419"
Juab2008,10024,"341,394","302,613","2,876","18,844","58,016","39,688","46,660","35,396","11,265","2,803","15,919",S,S,"43,363","4,704","38,659","25,130","10,335",S,S,"16,304",S,S,"7,750",S,S,S,"38,781"
Juab2009,10209,"360,686","321,437","6,296","16,648","59,692","37,405","67,460","53,638","13,822","2,605","14,973",S,S,"42,487","4,000","38,488","23,536","9,726",S,S,"18,785",S,S,"7,542",S,S,S,"39,249"
Juab2010,10263,"401,825","362,299","4,625","25,604","68,787","21,143","103,607","85,293","18,314","3,167","13,254",S,S,"45,143","3,374","41,769","26,376","9,837","12,847","3,692","18,174",S,S,"6,729",S,S,S,"39,526"
Juab2011,10317,"407,242","367,002","7,776","28,427","71,253","15,650","107,235","87,627","19,608","3,419","12,502",S,S,"45,253","3,475","41,778","28,545","10,986","12,873","4,686","18,456",S,S,"6,571",S,S,S,"40,240"
Juab2012,10300,"352,798","312,616","2,976","17,349","70,493","17,597","68,193","48,227","19,966","3,878","12,587",S,S,"35,659","3,916","31,743","28,387","11,554","14,370","2,463","22,969",S,S,"6,378",S,S,S,"40,181"
Juab2013,10269,"389,913","349,827","7,780","19,336","75,938","27,693","71,005","51,185","19,820","4,031","11,879",S,S,"36,544","4,185","32,359","31,847","14,934","14,094","2,819","25,113",S,S,"6,823",S,S,S,"40,086"
Juab2014,10418,"401,252","360,299","10,050","26,040","80,811","20,325","80,921","50,763","30,159","4,585","11,361",S,S,"36,071","5,001","31,070","28,861","14,034",S,S,"25,605",S,S,"7,186",S,S,S,"40,952"
Juab2015,10560,"434,358","391,741","16,087","25,743","80,842","32,111","88,215","55,108","33,107","5,604","10,920",S,S,"36,315",S,S,"26,771","13,163","10,528","3,081","28,438",S,S,"7,368",S,S,S,"42,617"
Juab2016,11045,"412,464","367,240","3,318","28,795","61,434","32,551","86,613","56,979","29,634","6,775","11,815",S,S,"36,226",S,S,"28,874","12,733","12,047","4,095","29,318",S,S,S,S,S,S,"45,224"
Juab2017,11308,"412,889","364,472","10,485","13,566","52,564","24,789","91,128","59,009","32,119","8,135","13,712",S,S,"36,831",S,S,"28,796","12,623","12,700","3,472",S,S,S,"8,943",S,S,S,"48,416"
Juab2018,11639,"497,253","446,059","30,217","6,254","97,133","29,528","99,372","57,495","41,877","8,787","15,839",S,S,"43,428","6,258","37,170","29,040","14,798","10,640","3,602",S,S,S,"10,154",S,S,S,"51,194"
Juab2019,12002,"539,386","487,159","10,182","10,131",S,"25,488","121,297","78,810","42,487","7,488","17,929",S,S,"49,560","7,051","42,510","35,451","16,195","14,281","4,975",S,S,S,S,S,S,S,"52,227"
Juab2020,11818,"549,743","496,223","1,650","14,472","124,148","28,952","135,773","88,836","46,937","5,684","20,035",S,"4,162","52,164","9,770","42,393",S,S,S,"6,438",S,S,S,"9,298",432,"8,865","14,804","53,520"
Juab2021,12192,"699,353","641,898","34,629","25,335","154,027","35,337","180,165","131,739","48,427","6,101","23,571",S,"4,416","58,450","11,974","46,476",S,S,S,"7,343",S,S,S,"10,937",753,"10,184","15,829","57,454"
Juab2022,12567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane2000,6094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane2001,6000,"154,094","120,887","1,338",0,774,S,S,S,S,"2,219","10,541",S,S,"34,466","4,358","30,108",S,S,"9,982",356,"1,577",18,"1,559","28,865","14,934","13,931","11,543","33,208"
Kane2002,6081,"160,879","127,686",S,323,880,"7,431",S,S,S,"2,175","10,566",S,S,"37,371","5,455","31,917",S,S,"9,993",409,"1,720",21,"1,699","28,620",S,S,"12,889","33,193"
